,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Cause/s
34,https://www.acnc.gov.au/charity/charities/69980c4f-39af-e811-a963-000d3ad24077/profile,North Frankston Endeavour Scouts Bingo,Skye,VIC,Registered,Small,62771168310,,,
35,https://www.acnc.gov.au/charity/charities/0fce0355-39af-e811-a963-000d3ad24077/profile,The Trustee For Ccc Carlingford Benevolent Fund,Pennant Hills,NSW,Registered,Small,72155160988,,,
36,https://www.acnc.gov.au/charity/charities/30970c4f-39af-e811-a963-000d3ad24077/profile,Catholic Parish Of St Therese Of The Child Jesus Beauty Point,Beauty Point,NSW,Registered,Small,62767063872,,,
37,https://www.acnc.gov.au/charity/charities/68c20355-39af-e811-a963-000d3ad24077/profile,St. Peter's Evangelical Lutheran Church Inc - Loxton,Loxton,SA,Registered,Small,24678193682,,,
38,https://www.acnc.gov.au/charity/charities/10ce0355-39af-e811-a963-000d3ad24077/profile,Peniel Church Australia Inc,Braybrook,VIC,Registered,Small,72069596153,,,
39,https://www.acnc.gov.au/charity/charities/5e990c4f-39af-e811-a963-000d3ad24077/profile,The Trustee For Priestly Fraternity Of St Peter (Fssp)(Canberra) Trust,Mawson,ACT,Registered,Small,62827140708,,,
40,https://www.acnc.gov.au/charity/charities/faca0355-39af-e811-a963-000d3ad24077/profile,Churches Of Christ Liverpool West,Padstow,NSW,Registered,Small,47542146671,,,
41,https://www.acnc.gov.au/charity/charities/31970c4f-39af-e811-a963-000d3ad24077/profile,Church Of Christ Ulverstone,West Ulverstone,TAS,Registered,Small,62778429010,,,
42,https://www.acnc.gov.au/charity/charities/a3eb1843-39af-e811-a963-000d3ad24077/profile,Dowsing Point Community Centre Inc.,Unavailable,Unavailable,Registered,Small,47495270616,,,
43,https://www.acnc.gov.au/charity/charities/5bc10355-39af-e811-a963-000d3ad24077/profile,Maroondah Hospital Kiosk Auxiliary,Bayswater North,VIC,Registered,Small,76523046904,,,
44,https://www.acnc.gov.au/charity/charities/239b0c4f-39af-e811-a963-000d3ad24077/profile,Society Of Christ Keysborough,Narrabundah,ACT,Registered,Small,76515627266,,,
45,https://www.acnc.gov.au/charity/charities/b4201149-39af-e811-a963-000d3ad24077/profile,The Old Geelong Grammarians Incorporated,Corio,VIC,Registered,Small,62539038013,,,
46,https://www.acnc.gov.au/charity/charities/82cd0355-39af-e811-a963-000d3ad24077/profile,The International Nature Loving Association Of Australia,Belmore,NSW,Registered,Small,47579972430,,,
47,https://www.acnc.gov.au/charity/charities/01cf0355-39af-e811-a963-000d3ad24077/profile,The Trustee For Patterson H Fund,Melbourne,VIC,Registered,Small,93105469764,,,
