,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion,website,revenue,expenses,causes,lastreport,religious_ref
300,https://www.acnc.gov.au/charity/charities/407fd638-38af-e811-a95e-000d3ad24c60/profile,Calvary Ministries Limited,Hurstville,NSW,Registered,Medium,27135375629,,,,,,,http://www.calvaryministries.org.au/,542059.0,525879.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; General community in Australia; Males; Other charities; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Youth - 15 to under 25,22 Dec 2021,1.0
301,https://www.acnc.gov.au/charity/charities/cf6ce52c-38af-e811-a95e-000d3ad24c60/profile,Monaro Community Access Service Inc.,Unavailable,Unavailable,Registered,Medium,20792983392,,,,,,,http://www.monarocommunityaccessservice.com/,383438.0,401159.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Females; Financially disadvantaged people; General community in Australia; Males; People at risk of homelessness/ people experiencing homelessness; People in rural/regional/remote communities; Youth - 15 to under 25,25 Nov 2021,0.0
302,https://www.acnc.gov.au/charity/charities/81e8c544-38af-e811-a95e-000d3ad24c60/profile,Anglican Church Of Australia Parish Of Cranbourne,Cranbourne,VIC,Registered,Medium,64756776050,,,,,,,http://www.sjac.com.au/,0.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Youth - 15 to under 25,22 Mar 2022,1.0
303,https://www.acnc.gov.au/charity/charities/59ecc544-38af-e811-a95e-000d3ad24c60/profile,Rouse Hill Public School P&C Association,Rouse Hill,NSW,Registered,Medium,14725521192,,,,,,,https://rousehill-p.schools.nsw.gov.au/,285715.0,94585.0,Children - aged 6 to under 15,31 May 2022,0.0
304,https://www.acnc.gov.au/charity/charities/5fedc544-38af-e811-a95e-000d3ad24c60/profile,Presbyterian Church Of Eastern Australia,Heathmont,VIC,Registered,Medium,64855779590,,,,,,,http://pcea.org.au/,0.0,0.0,General community in Australia; Overseas communities or charities,3 Jun 2022,1.0
305,https://www.acnc.gov.au/charity/charities/f6e8c544-38af-e811-a95e-000d3ad24c60/profile,Uca Fremantle Wesley Mission Property,Fremantle,WA,Registered,Medium,64760663704,,,,,,,http://fremantlewesley.org/,809134.0,657239.0,General community in Australia,19 Jan 2022,1.0
306,https://www.acnc.gov.au/charity/charities/b12ad24a-38af-e811-a95e-000d3ad24c60/profile,Sydney International Piano Competition,Royal Exchange,NSW,Registered,Medium,15001467536,,,,,,,http://www.thesydney.com.au/,955464.0,835614.0,Adults - aged 25 to under 65; Adults - aged 65 and over; General community in Australia; Overseas communities or charities; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; Youth - 15 to under 25,24 May 2022,0.0
307,https://www.acnc.gov.au/charity/charities/d0e1cd3e-38af-e811-a95e-000d3ad24c60/profile,The Trustee For L E W Carty Charitable Fund,Melbourne,VIC,Registered,Medium,49743689212,,,,,,,http://www.carty.org.au/,386674.0,364882.0,Other charities,22 Dec 2021,0.0
308,https://www.acnc.gov.au/charity/charities/3eeccd3e-38af-e811-a95e-000d3ad24c60/profile,Unavailable,Melbourne,VIC,Registered,Medium,Unavailable,,,,,,,,305012.0,127012.0,Other charities,30 Jan 2022,0.0
309,https://www.acnc.gov.au/charity/charities/d926d24a-38af-e811-a95e-000d3ad24c60/profile,Mittagong Pre School Kindergarten Inc,Mittagong,NSW,Registered,Medium,64924935699,,,,,,,http://www.mittagongpreschool.org.au/,906984.0,885657.0,Aboriginal and Torres Strait Islander people; Early childhood - aged under 6; Families; People from a culturally and linguistically diverse background; People with disabilities,20 Jun 2022,0.0
