,ABN,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,website,revenue,expenses,causes,lastreport,religious_ref,Number_of_Responsible_Persons,Registration_Date,Date_Organisation_Established
4627,91601570585,https://www.acnc.gov.au/charity/charities/7d22e149-3aaf-e811-a95e-000d3ad24c60/profile,Big Group Hug Ltd,Bundoora,VIC,Registered,Medium,http://www.biggrouphug.org/,424271.0,322576.0,Children - aged 6 to under 15; Early childhood - aged under 6; Youth - 15 to under 25,28 Jan 2022,0.0,8.0,08/09/2014,01/09/2014
4628,93355017448,https://www.acnc.gov.au/charity/charities/3515e149-3aaf-e811-a95e-000d3ad24c60/profile,Gold Coast Little Theatre,Southport Bc,QLD,Registered,Medium,https://www.gclt.com.au/,287557.0,250899.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Families; General community in Australia; People with disabilities; Youth - 15 to under 25,18 Jun 2022,0.0,14.0,03/12/2012,16/04/1964
4629,76111864389,https://www.acnc.gov.au/charity/charities/5020e149-3aaf-e811-a95e-000d3ad24c60/profile,People and Parks Foundation,Melbourne,VIC,Registered,Medium,http://www.peopleandparks.org/,323016.0,332956.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Environment; Families; General community in Australia; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Youth - 15 to under 25",31 Jan 2022,0.0,8.0,08/09/2014,17/11/2004
4630,33665579231,https://www.acnc.gov.au/charity/charities/cae8e643-3aaf-e811-a95e-000d3ad24c60/profile,IGLESIA DE DIOS MINISTERIAL DE JESUCRISTO INTERNACIONAL,Bayswater,WA,Registered,Medium,http://www.idmji.org/,505570.0,263138.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; General community in Australia; Males; Overseas communities or charities; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25,21 Dec 2021,1.0,7.0,01/06/2013,01/06/2013
4631,61003823423,https://www.acnc.gov.au/charity/charities/53a2ee37-3aaf-e811-a95e-000d3ad24c60/profile,THE TRUSTEE FOR LYNGALA FOUNDATION,South Melbourne,VIC,Registered,Medium,,346011.0,144159.0,General community in Australia; Other; Other charities,18 Feb 2022,0.0,5.0,01/01/2014,01/01/2011
4632,67169157680,https://www.acnc.gov.au/charity/charities/9127e149-3aaf-e811-a95e-000d3ad24c60/profile,Canthera Discovery Ltd,Melbourne,VIC,Registered,Medium,http://www.cantheradiscovery.com/,377383.0,5333607.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; People with chronic illness (including terminal illness); Youth - 15 to under 25,24 Nov 2021,0.0,6.0,17/04/2014,17/04/2014
4633,Unavailable,https://www.acnc.gov.au/charity/charities/159eee37-3aaf-e811-a95e-000d3ad24c60/profile,Unavailable,Unavailable,Unavailable,Registered,Medium,,272024.0,197468.0,Other charities,28 Feb 2022,0.0,,,
4634,79154559967,https://www.acnc.gov.au/charity/charities/081de149-3aaf-e811-a95e-000d3ad24c60/profile,Centre for Hope,Windale,NSW,Registered,Medium,http://www.centreforhope.com/,297576.0,384658.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Families; Females; Financially disadvantaged people; Males; People at risk of homelessness/ people experiencing homelessness; Unemployed persons; Youth - 15 to under 25,4 Mar 2022,0.0,5.0,03/12/2012,01/12/2011
4635,76223529785,https://www.acnc.gov.au/charity/charities/fdaedcf9-39af-e811-a95e-000d3ad24c60/profile,The Central Highlands Tourist Railway,Daylesford,VIC,Registered,Medium,http://www.dscr.com.au/,325968.0,235681.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Families; Females; Financially disadvantaged people; General community in Australia; Males; Other charities; People at risk of homelessness/ people experiencing homelessness; People in rural/regional/remote communities; Unemployed persons; Youth - 15 to under 25,29 Jan 2022,0.0,11.0,03/12/2012,29/11/1983
4636,85323792198,https://www.acnc.gov.au/charity/charities/891ae149-3aaf-e811-a95e-000d3ad24c60/profile,Nguyen Thieu Buddhist & Welfare Association Incorporated,Fairfield Heights,NSW,Registered,Medium,,325435.0,72460.0,People from a culturally and linguistically diverse background,8 Dec 2021,1.0,6.0,01/08/2014,18/12/2011
4637,68601280880,https://www.acnc.gov.au/charity/charities/bffcd255-3aaf-e811-a95e-000d3ad24c60/profile,UTAS Holdings Pty Ltd,Unavailable,Unavailable,Registered,Medium,,756361.0,856453.0,General community in Australia,29 Jun 2022,0.0,10.0,01/01/2015,15/08/2014
4638,75876234348,https://www.acnc.gov.au/charity/charities/7068ef3d-3aaf-e811-a95e-000d3ad24c60/profile,THE TRUSTEE FOR THE BASS FAMILY FOUNDATION,Nedlands,WA,Registered,Medium,,544900.0,1222204.0,General community in Australia,4 Mar 2022,0.0,7.0,01/01/2014,01/01/2007
4639,36121685886,https://www.acnc.gov.au/charity/charities/8127d94f-3aaf-e811-a95e-000d3ad24c60/profile,Manningham Uniting Church,Templestowe,VIC,Registered,Medium,http://www.manninghamuc.org/,491507.0,502421.0,"Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Environment; Families; Financially disadvantaged people; Migrants, refugees or asylum seekers; Overseas communities or charities; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People with chronic illness (including terminal illness); People with disabilities; Youth - 15 to under 25",7 Jul 2022,1.0,12.0,03/12/2012,29/05/2011
4640,38587617153,https://www.acnc.gov.au/charity/charities/fefbd255-3aaf-e811-a95e-000d3ad24c60/profile,St Paul's Children Centre Inc,Kogarah,NSW,Registered,Medium,http://www.spcckogarah.nsw.edu.au/,531078.0,360821.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Early childhood - aged under 6; Females; Financially disadvantaged people; Males; People from a culturally and linguistically diverse background; People in rural/regional/remote communities,10 Jul 2022,1.0,5.0,02/10/2015,22/10/2014
