,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion,website,revenue,expenses,causes,lastreport,religious_ref
600,https://www.acnc.gov.au/charity/charities/c5a13e5e-38af-e811-a963-000d3ad24077/profile,Moonta And District Uniting Churches,Moonta,SA,Registered,Small,44947427523,,,,,,,http://nowebsite.com/,0.0,0.0,General community in Australia,22 Jul 2022,1.0
601,https://www.acnc.gov.au/charity/charities/3a1e96d9-38af-e811-a963-000d3ad24077/profile,Caitlin's Retreat Limited,Eltham,VIC,Registered,Small,46149763388,,,,,,,,25457.0,41262.0,Families; People with disabilities,8 Aug 2022,0.0
602,https://www.acnc.gov.au/charity/charities/5b2596d9-38af-e811-a963-000d3ad24077/profile,The Corporation Of The Synod Of The Diocese Of Brisbane,Brisbane City,QLD,Registered,Small,29130318560,,,,,,,,0.0,0.0,General community in Australia,27 May 2022,1.0
603,https://www.acnc.gov.au/charity/charities/9a2296d9-38af-e811-a963-000d3ad24077/profile,St George Russian Orthodox Church,Croydon,NSW,Registered,Small,61296598409,,,,,,,http://www.rocor.org.au/,0.0,0.0,General community in Australia,17 Jan 2022,1.0
604,https://www.acnc.gov.au/charity/charities/9e5886d3-38af-e811-a963-000d3ad24077/profile,Redeemer Lutheran Church Coonalpyn Incorporated,Coonalpyn,SA,Registered,Small,56336015708,,,,,,,,59456.0,56339.0,Families; General community in Australia,3 May 2022,1.0
605,https://www.acnc.gov.au/charity/charities/b6058ec7-38af-e811-a963-000d3ad24077/profile,Southern Life,Hackham West,SA,Registered,Small,51079024928,,,,,,,http://www.southernlifechurch.com/,205811.0,222342.0,Adults - aged 25 to under 65; Families; General community in Australia; Youth - 15 to under 25,7 Jun 2022,1.0
606,https://www.acnc.gov.au/charity/charities/7f5286d3-38af-e811-a963-000d3ad24077/profile,Larnook Parents And Citizens Association,Larnook,NSW,Registered,Small,84036422856,,,,,,,,5978.0,4196.0,Children - aged 6 to under 15,17 May 2022,0.0
607,https://www.acnc.gov.au/charity/charities/8c2296d9-38af-e811-a963-000d3ad24077/profile,South Australian Nuffield Farming Scholars Association,Loxton,SA,Registered,Small,88052582790,,,,,,,,35985.0,2740.0,Adults - aged 25 to under 65; Adults - aged 65 and over; People in rural/regional/remote communities,30 Jan 2021,0.0
608,https://www.acnc.gov.au/charity/charities/88f494c1-38af-e811-a963-000d3ad24077/profile,Genealogical Society Of Qld Inc,Carindale,QLD,Registered,Small,46025286168,,,,,,,http://www.gsq.org.au/,109410.0,74530.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Youth - 15 to under 25,14 Dec 2021,0.0
609,https://www.acnc.gov.au/charity/charities/6d1996d9-38af-e811-a963-000d3ad24077/profile,Waratah Public School P&C Assn,Waratah,NSW,Registered,Small,46128948705,,,,,,,,96116.0,132681.0,"Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Early childhood - aged under 6; Environment; Families; Females; Financially disadvantaged people; General community in Australia; Males; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities",12 Aug 2022,0.0
