,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion,website,revenue,expenses,causes,lastreport,religious_ref
8400,https://www.acnc.gov.au/charity/charities/5427a2f9-39af-e811-a962-000d3ad24a0d/profile,Kingdomcity Cultural Fund Trust,Unavailable,Unavailable,Registered,Small,80191829827,,,,,,,,5051.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Youth - 15 to under 25,29 Jun 2022,0.0
8401,https://www.acnc.gov.au/charity/charities/18058844-dfeb-e911-a811-000d3ad1fbf8/profile,SPARK HEALTH EDUCATION LIMITED,Northbridge,NSW,Registered,Small,97636554982,,,,,,,http://www.sparkhealtheducation.org.au/,24508.0,47978.0,Overseas communities or charities,24 Sep 2022,0.0
8402,https://www.acnc.gov.au/charity/charities/6efa05f4-39af-e811-a960-000d3ad24282/profile,Australian BPD Foundation Limited,Unavailable,Unavailable,Registered,Small,83163173439,,,,,,,http://bpdfoundation.org.au/,113025.0,112150.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Families; Females; General community in Australia; Males; Other; Youth - 15 to under 25,2 Jan 2022,0.0
8403,https://www.acnc.gov.au/charity/charities/7278e6e2-2daf-e811-a95e-000d3ad24c60/profile,Ourimbah Public School Parents & Citizens Association,Ourimbah,NSW,Registered,Small,43804629108,,,,,,,,35480.0,28118.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Females; Males,7 May 2022,0.0
8404,https://www.acnc.gov.au/charity/charities/9bd1388f-38af-e811-a961-000d3ad24182/profile,The Trustee For Eli's Foundation,Kalimna,VIC,Registered,Small,91365886969,,,,,,,,15120.0,12137.0,Families,25 Sep 2022,0.0
8405,https://www.acnc.gov.au/charity/charities/d80e9164-38af-e811-a960-000d3ad24282/profile,Greek Orthodox Archdiocese Of Aust Consolidated Trust Parish Of St Dimitriosqueanbeyan Philoptohos,Queanbeyan,NSW,Registered,Small,74368498080,,,,,,,,0.0,0.0,General community in Australia,14 Feb 2022,1.0
8406,https://www.acnc.gov.au/charity/charities/7e3e862a-39af-e811-a960-000d3ad24282/profile,Greek Orthodox Archdiocese Of Aust East Keilor Ladies Auxiliary,Keilor East,VIC,Registered,Small,11682476849,,,,,,,,0.0,0.0,General community in Australia,7 Feb 2022,1.0
8407,https://www.acnc.gov.au/charity/charities/4252e0a2-38af-e811-a962-000d3ad24a0d/profile,Greek Orthodox Archdiocese Of Aust Consolidated Trust Parish Of St Sophi,Surry Hills,NSW,Registered,Small,22358337886,,,,,,,http://stsophia.org.au/,0.0,0.0,General community in Australia,29 Jul 2022,1.0
8408,https://www.acnc.gov.au/charity/charities/fc1cd63e-38af-e811-a960-000d3ad24282/profile,Greek Orthodox Archdiocese Of Aust Holy Monastery Axion Estin,Northcote,VIC,Registered,Small,90941512288,,,,,,,,0.0,0.0,General community in Australia,6 Feb 2022,1.0
8409,https://www.acnc.gov.au/charity/charities/74ea368f-38af-e811-a960-000d3ad24282/profile,Greek Orthodox Archdiocese Of Australia Consolidated Trust Parish Of St Demetrios Salisbury,Salisbury Plain,SA,Registered,Small,60391755487,,,,,,,,0.0,0.0,General community in Australia,10 Feb 2022,1.0
8410,https://www.acnc.gov.au/charity/charities/dd22010f-39af-e811-a95e-000d3ad24c60/profile,Greek Orthodox Archdiocese Of Australia Consolidated Trust Parish Of St Raphael,Athelstone,SA,Registered,Small,92398738198,,,,,,,,0.0,0.0,General community in Australia,25 Feb 2022,1.0
8411,https://www.acnc.gov.au/charity/charities/b449a50a-3aaf-e811-a963-000d3ad244fd/profile,GREEK ORTHODOX ARCHDIOCESE OF AUSTRALIA CONSOLIDATED TRUST PARISH OF ST NECTARIOS PHILOPTOHOS,Fawkner,VIC,Registered,Small,61679882461,,,,,,,,0.0,0.0,General community in Australia,16 Aug 2019,1.0
8412,https://www.acnc.gov.au/charity/charities/89fa9aad-3aaf-e811-a962-000d3ad24a0d/profile,Sandalwood Arts & Entertainments Inc.,Northmead,NSW,Registered,Small,56626473786,,,,,,,http://sae.org.au/,7000.0,8000.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Females; Financially disadvantaged people; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Youth - 15 to under 25,21 Sep 2022,0.0
8413,https://www.acnc.gov.au/charity/charities/f4ce9b0a-3aaf-e811-a963-000d3ad24077/profile,Dignity Zambia,Dulwich,SA,Registered,Small,30458716136,,,,,,,http://www.dignityzambia.com/,70189.0,49311.0,Adults - aged 25 to under 65; Females; Financially disadvantaged people; People in rural/regional/remote communities,30 Jan 2022,0.0
8414,https://www.acnc.gov.au/charity/charities/86da070a-39af-e811-a963-000d3ad244fd/profile,Parramatta Rsl Community Daycare Club,Parramatta,NSW,Registered,Small,23798447914,,,,,,,,0.0,0.0,,21 Sep 2022,0.0
8415,https://www.acnc.gov.au/charity/charities/df0d9695-38af-e811-a960-000d3ad24282/profile,Seventh-Day Adventist Schools (South Australia) Limited,Wahroonga,NSW,Registered,Small,28111557567,,,,,,,,0.0,0.0,Children - aged 6 to under 15; Youth - 15 to under 25,21 Sep 2022,1.0
8416,https://www.acnc.gov.au/charity/charities/4fce1b72-38af-e811-a962-000d3ad24a0d/profile,Seventh-Day Adventist Schools (Tasmania) Limited,Wahroonga,NSW,Registered,Small,55111101556,,,,,,,,0.0,0.0,Children - aged 6 to under 15; Youth - 15 to under 25,21 Sep 2022,1.0
8417,https://www.acnc.gov.au/charity/charities/dc4bed60-cd55-e911-a97d-000d3ad064bd/profile,St Mary's Coptic Orthodox Church,Moonah,TAS,Registered,Small,72202315781,,,,,,,https://www.facebook.com/Stmaryhobart/,84199.0,34764.0,,28 Feb 2022,1.0
8418,https://www.acnc.gov.au/charity/charities/dd250a21-38af-e811-a962-000d3ad24a0d/profile,Uca - Tumbarumba,Tumbarumba,NSW,Registered,Small,78180046214,,,,,,,,0.0,0.0,Adults - aged 65 and over,21 Sep 2022,1.0
8419,https://www.acnc.gov.au/charity/charities/efc3f13e-39af-e811-a961-000d3ad24182/profile,Servants Community Care Incorporated,Seven Hills,NSW,Registered,Small,24532672662,,,,,,,https://servantscare.org/,112765.0,91330.0,General community in Australia,21 Dec 2021,0.0
