,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion,website,revenue,expenses,causes,lastreport,religious_ref
900,https://www.acnc.gov.au/charity/charities/3392fdbf-38af-e811-a961-000d3ad24182/profile,The WA Hippotherapy Centre of RDAWA Inc.,Bullsbrook,WA,Registered,Small,61028416006,,,,,,,https://www.facebook.com/BrookValleyRDA/,188755.0,178707.0,Adults - aged 25 to under 65; Children - aged 6 to under 15; Early childhood - aged under 6; People with disabilities; Youth - 15 to under 25,30 Jan 2022,0.0
901,https://www.acnc.gov.au/charity/charities/c5e308d8-38af-e811-a961-000d3ad24182/profile,Hope Christian Centre Incorporated,North Hobart,TAS,Registered,Small,56361855135,,,,,,,http://www.hopechristiancentre.org.au/,149525.0,151245.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Youth - 15 to under 25,10 Mar 2022,1.0
902,https://www.acnc.gov.au/charity/charities/79ae0fd2-38af-e811-a961-000d3ad24182/profile,The Manor Foundation Ltd,Mosman,NSW,Registered,Small,84000099356,,,,,,,,64541.0,87701.0,General community in Australia,1 Feb 2022,0.0
903,https://www.acnc.gov.au/charity/charities/83aa0fd2-38af-e811-a961-000d3ad24182/profile,The Commercial Law Association Of Australia Ltd,Newport,NSW,Registered,Small,91914874903,,,,,,,http://www.cla.org.au/,142601.0,156522.0,Adults - aged 25 to under 65; Females; General community in Australia; Males; Other,3 Jun 2022,0.0
904,https://www.acnc.gov.au/charity/charities/22b40fd2-38af-e811-a961-000d3ad24182/profile,Mary Knoll Refuge Inc,Beetaloo Valley,SA,Registered,Small,66295669518,,,,,,,http://maryknollrefuge.com.au/,4250.0,4868.0,Adults - aged 25 to under 65; General community in Australia; People in rural/regional/remote communities; Youth - 15 to under 25,19 Feb 2022,1.0
905,https://www.acnc.gov.au/charity/charities/688514c6-38af-e811-a961-000d3ad24182/profile,The Trustee For The S L Bray Memorial Foundation,Glenhaven,NSW,Registered,Small,16641300231,,,,,,,,134967.0,92212.0,Aboriginal and Torres Strait Islander people; Animals; Environment,29 Nov 2021,0.0
906,https://www.acnc.gov.au/charity/charities/62b20fd2-38af-e811-a961-000d3ad24182/profile,The King David School Parents Association Incorporated,Armadale,VIC,Registered,Small,92001011771,,,,,,,https://www.kds.vic.edu.au/,7000.0,10000.0,Children - aged 6 to under 15; Early childhood - aged under 6; Financially disadvantaged people; General community in Australia; Youth - 15 to under 25,23 Mar 2022,0.0
907,https://www.acnc.gov.au/charity/charities/078214c6-38af-e811-a961-000d3ad24182/profile,Lakemba Parish - Acpt (1239),Sydney,NSW,Registered,Small,22925922702,,,,,,,,0.0,0.0,General community in Australia,23 Jun 2022,1.0
908,https://www.acnc.gov.au/charity/charities/7c98fdbf-38af-e811-a961-000d3ad24182/profile,Parish of the Southern Suburbs - Morphett Vale,Morphett Vale,SA,Registered,Small,61151961024,,,,,,,https://www.anglicansouthernsuburbs.org/,0.0,0.0,Financially disadvantaged people; General community in Australia,31 May 2022,1.0
909,https://www.acnc.gov.au/charity/charities/d24323ea-38af-e811-a961-000d3ad24182/profile,St Joseph's Catholic Church Rochester,Bendigo,VIC,Registered,Small,56594855377,,,,,,,,0.0,0.0,Other,18 Jan 2022,1.0
910,https://www.acnc.gov.au/charity/charities/3eb4f7e3-38af-e811-a961-000d3ad24182/profile,Returned & Services League Of Australia (Queensland Branch) Cannon Hill District And Vietnam Services Sub Branch,Bulimba,QLD,Registered,Small,79833128623,,,,,,,https://rslqld.org/about-us/bulimba-district-rsl-sub-branch,2153.0,1039.0,Veterans and/or their families,20 Jun 2022,0.0
911,https://www.acnc.gov.au/charity/charities/1e3f23ea-38af-e811-a961-000d3ad24182/profile,Anglican Parish Of Corryong,Corryong,VIC,Registered,Small,92320238182,,,,,,,,0.0,0.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; General community in Australia; Males; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25",9 Jun 2022,1.0
912,https://www.acnc.gov.au/charity/charities/2e3400de-38af-e811-a961-000d3ad24182/profile,TS Centaur Support Group Inc,Maleny,QLD,Registered,Small,16859982373,,,,,,,,14844.0,10652.0,Children - aged 6 to under 15; Youth - 15 to under 25,31 Jan 2021,0.0
913,https://www.acnc.gov.au/charity/charities/2a3300de-38af-e811-a961-000d3ad24182/profile,The Rhonda Wyllie Foundation,Unavailable,Unavailable,Registered,Small,16856285803,,,,,,,,15799.0,51257.0,Children - aged 6 to under 15; Early childhood - aged under 6; Youth - 15 to under 25,19 Jan 2021,0.0
914,https://www.acnc.gov.au/charity/charities/eabe3ff0-38af-e811-a961-000d3ad24182/profile,Grace Lutheran Church Bridgewater,Bridgewater,SA,Registered,Small,96242001585,,,,,,,https://bridgewater.lutheran.org.au/,0.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Females; People in rural/regional/remote communities; Youth - 15 to under 25,17 Feb 2022,1.0
915,https://www.acnc.gov.au/charity/charities/fc3100de-38af-e811-a961-000d3ad24182/profile,Anglican Parish of Narrominediocese of Bathurst NSW 2821,Narromine,NSW,Registered,Small,70855118641,,,,,,,,0.0,0.0,,9 Aug 2022,1.0
916,https://www.acnc.gov.au/charity/charities/423100de-38af-e811-a961-000d3ad24182/profile,St Mary's Catholic Church Nathalia,Bendigo,VIC,Registered,Small,16836102612,,,,,,,,0.0,0.0,Other,18 Jan 2022,1.0
917,https://www.acnc.gov.au/charity/charities/e6b0f7e3-38af-e811-a961-000d3ad24182/profile,Lotus Meditation Centre Inc,Greenbank,QLD,Registered,Small,70874009574,,,,,,,,75231.0,33433.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; General community in Australia; Males; People from a culturally and linguistically diverse background; Youth - 15 to under 25,25 Nov 2021,0.0
918,https://www.acnc.gov.au/charity/charities/184223ea-38af-e811-a961-000d3ad24182/profile,A E Oldfield Trust,North Sydney,NSW,Registered,Small,92224847047,,,,,,,,163.0,0.0,General community in Australia,27 Oct 2021,1.0
919,https://www.acnc.gov.au/charity/charities/b54223ea-38af-e811-a961-000d3ad24182/profile,The Way Ministries,North Mackay,QLD,Registered,Small,56564984796,,,,,,,,0.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; General community in Australia; Youth - 15 to under 25,6 May 2022,1.0
920,https://www.acnc.gov.au/charity/charities/81bf3ff0-38af-e811-a961-000d3ad24182/profile,Pattern Builders Incorporated,Trinity Gardens,SA,Registered,Small,96273066527,,,,,,,,135164.0,164037.0,Adults - aged 25 to under 65; Families,25 Jan 2022,1.0
921,https://www.acnc.gov.au/charity/charities/3a3f23ea-38af-e811-a961-000d3ad24182/profile,Sandhurst Gospel Trust,Unavailable,Unavailable,Registered,Small,99784393303,,,,,,,,0.0,0.0,General community in Australia,30 Jan 2022,1.0
922,https://www.acnc.gov.au/charity/charities/56b4f7e3-38af-e811-a961-000d3ad24182/profile,The Trustee For Stand Like Stone Foundation Educational Scholarship Trust,Mount Gambier,SA,Registered,Small,79833686556,,,,,,,,95110.0,27474.0,"Aboriginal and Torres Strait Islander people; All ages; Females; General community in Australia; Males; Migrants, refugees or asylum seekers; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People with disabilities; Unemployed persons; Veterans and/or their families",19 Jan 2016,0.0
923,https://www.acnc.gov.au/charity/charities/db4323ea-38af-e811-a961-000d3ad24182/profile,Tumut Public School P&C Assoc,Tumut,NSW,Registered,Small,56573879342,,,,,,,http://www.tumut-p.schools.nsw.gov.au/,4518.0,3213.0,Children - aged 6 to under 15,18 Feb 2022,0.0
924,https://www.acnc.gov.au/charity/charities/d6b5f7e3-38af-e811-a961-000d3ad24182/profile,Newstead Baptist Church,Newstead,TAS,Registered,Small,80049116926,,,,,,,http://www.minist60.wixsite.com/newsteadbaptist,0.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over; General community in Australia,26 Apr 2021,1.0
925,https://www.acnc.gov.au/charity/charities/454323ea-38af-e811-a961-000d3ad24182/profile,Greenway Park P&C Association,West Hoxton,NSW,Registered,Small,56701894026,,,,,,,,0.0,0.0,Children - aged 6 to under 15,8 Jul 2019,0.0
926,https://www.acnc.gov.au/charity/charities/c53723ea-38af-e811-a961-000d3ad24182/profile,The Trustee For South Armidale Gospel Trust,Unavailable,Unavailable,Registered,Small,35116988962,,,,,,,,0.0,0.0,General community in Australia,30 Jan 2022,1.0
927,https://www.acnc.gov.au/charity/charities/82bf3ff0-38af-e811-a961-000d3ad24182/profile,The Trustee For The Dunmoochin Foundation,Cottles Bridge,VIC,Registered,Small,29399676231,,,,,,,http://www.dunmoochin.org/,74815.0,85122.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Environment; Females; General community in Australia; Males,24 Jan 2022,0.0
928,https://www.acnc.gov.au/charity/charities/393200de-38af-e811-a961-000d3ad24182/profile,Son Rise Sydney Inc,Seven Hills,NSW,Registered,Small,99613901991,,,,,,,http://www.sonrise.com.au/,120513.0,103456.0,Families; Females; Financially disadvantaged people; Overseas communities or charities; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People with chronic illness (including terminal illness); People with disabilities; Unemployed persons; Victims of disaster; Youth - 15 to under 25,23 Dec 2021,1.0
929,https://www.acnc.gov.au/charity/charities/b03e23ea-38af-e811-a961-000d3ad24182/profile,Aquinas College Foundation,North Adelaide,SA,Registered,Small,96149350335,,,,,,,http://www.aquinas.edu.au/,16401.0,2500.0,People in rural/regional/remote communities; Youth - 15 to under 25,20 May 2022,1.0
930,https://www.acnc.gov.au/charity/charities/edbe3ff0-38af-e811-a961-000d3ad24182/profile,Hughenden Show Society Inc,Hughenden,QLD,Registered,Small,96268458167,,,,,,,,78667.0,73543.0,General community in Australia,2 Mar 2018,0.0
931,https://www.acnc.gov.au/charity/charities/8d3b23ea-38af-e811-a961-000d3ad24182/profile,Life Church Benalla Inc.,Benalla,VIC,Registered,Small,41075377351,,,,,,,http://www.lifechurchbenalla.com.au/,165117.0,132701.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; General community in Australia; Males; People in rural/regional/remote communities; Youth - 15 to under 25,5 May 2022,1.0
932,https://www.acnc.gov.au/charity/charities/28b1f7e3-38af-e811-a961-000d3ad24182/profile,Academy Of Dentistry International Australasian Section,Unavailable,Unavailable,Registered,Small,70876906156,,,,,,,,81052.0,17800.0,"Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Families; Females; Financially disadvantaged people; Males; Migrants, refugees or asylum seekers; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; Unemployed persons",24 Jan 2022,0.0
933,https://www.acnc.gov.au/charity/charities/81c93ff0-38af-e811-a961-000d3ad24182/profile,The Douglas Whiting Trust,Adelaide,SA,Registered,Small,46541131445,,,,,,,,43299.0,24754.0,General community in Australia; Other charities,30 Jan 2022,0.0
934,https://www.acnc.gov.au/charity/charities/cb3f23ea-38af-e811-a961-000d3ad24182/profile,The Spiritual Assembly of the Baha'is of Mosman Park,Mosman Park,WA,Registered,Small,96105696600,,,,,,,http://www.bahai.org.au/,0.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Youth - 15 to under 25,16 Jun 2022,1.0
935,https://www.acnc.gov.au/charity/charities/7b3d23ea-38af-e811-a961-000d3ad24182/profile,Anglican Parish Of The Copper Coast,Kadina,SA,Registered,Small,92214566964,,,,,,,http://www.diowillochra.org.au/,110150.0,83807.0,Aboriginal and Torres Strait Islander people; Adults - aged 65 and over; Families; Females; Financially disadvantaged people; Males; People at risk of homelessness/ people experiencing homelessness; People in rural/regional/remote communities; People with disabilities,29 Jan 2022,1.0
936,https://www.acnc.gov.au/charity/charities/9e3c23ea-38af-e811-a961-000d3ad24182/profile,Samoan Church of the Nazarene Sydney,Rosemeadow,NSW,Registered,Small,96146686158,,,,,,,,0.0,10194.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; General community in Australia; Males; Migrants, refugees or asylum seekers; Other; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25",12 May 2021,1.0
937,https://www.acnc.gov.au/charity/charities/fa3000de-38af-e811-a961-000d3ad24182/profile,Carlton Public School P&C Association,Bexley,NSW,Registered,Small,70838686257,,,,,,,,8193.0,5979.0,Children - aged 6 to under 15,9 Jun 2022,0.0
938,https://www.acnc.gov.au/charity/charities/cb2b00de-38af-e811-a961-000d3ad24182/profile,Uniting Church Inc Port Lincoln Parish,Port Lincoln,SA,Registered,Small,61521398535,,,,,,,https://unityhill.ucasa.org.au/,0.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over,21 Jun 2022,1.0
939,https://www.acnc.gov.au/charity/charities/ae3e23ea-38af-e811-a961-000d3ad24182/profile,The Trustee For Life Is Trust,Canterbury,VIC,Registered,Small,56548237717,,,,,,,http://www.lifeis.org.au/,0.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Families; General community in Australia; Males; Other charities; Youth - 15 to under 25,24 Jan 2022,0.0
940,https://www.acnc.gov.au/charity/charities/3ab1f7e3-38af-e811-a961-000d3ad24182/profile,The Trustee For The Lester Mitchell Award,Horsham,VIC,Registered,Small,23260373451,,,,,,,http://www.skillinvest.com.au/,883.0,883.0,Youth - 15 to under 25,22 Dec 2021,0.0
941,https://www.acnc.gov.au/charity/charities/6db3f7e3-38af-e811-a961-000d3ad24182/profile,Yeshiva Benevolence Society Incorporated Inc9896342,Bondi,NSW,Registered,Small,71019798978,,,,,,,,0.0,0.0,,27 Jun 2022,0.0
942,https://www.acnc.gov.au/charity/charities/003923ea-38af-e811-a961-000d3ad24182/profile,Gunnedah RSL sub-Branch (RSL NSW),Gunnedah,NSW,Registered,Small,41020908544,,,,,,,,13459.0,33288.0,Veterans and/or their families,27 May 2022,0.0
943,https://www.acnc.gov.au/charity/charities/f22c00de-38af-e811-a961-000d3ad24182/profile,Northampton Historical Society Inc,Northampton,WA,Registered,Small,61489518070,,,,,,,,7918.0,3065.0,Families; General community in Australia,2 Aug 2022,0.0
944,https://www.acnc.gov.au/charity/charities/4c3823ea-38af-e811-a961-000d3ad24182/profile,Catholic Parish Of Our Lady Of Perpetual Succor Wingham,Wingham,NSW,Registered,Small,41020820567,,,,,,,,0.0,0.0,General community in Australia,26 Jan 2022,1.0
945,https://www.acnc.gov.au/charity/charities/d4c43ff0-38af-e811-a961-000d3ad24182/profile,Anglican Parish Of Kotara South,Kotara,NSW,Registered,Small,46482051881,,,,,,,http://www.kotaraanglican.org.au/,0.0,0.0,Families; Financially disadvantaged people; Other; People with disabilities; Victims of disaster,30 Apr 2022,1.0
946,https://www.acnc.gov.au/charity/charities/a53c23ea-38af-e811-a961-000d3ad24182/profile,Friends Of Penrith Regional Gallery & The Lewers Bequest,Emu Plains,NSW,Registered,Small,56534685283,,,,,,,,2272.0,5858.0,General community in Australia,8 Apr 2022,0.0
947,https://www.acnc.gov.au/charity/charities/ac3e23ea-38af-e811-a961-000d3ad24182/profile,Colchester Park Pre School Inc,The Basin,VIC,Registered,Small,92217117935,,,,,,,https://yrkinder.com/,6761.0,167.0,Early childhood - aged under 6,1 May 2022,0.0
948,https://www.acnc.gov.au/charity/charities/bdc808ae-38af-e811-a961-000d3ad24182/profile,Bourke Men's Shed Incorporated,Unavailable,Unavailable,Registered,Small,45683739954,,,,,,,,8849.0,8208.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Females; General community in Australia; Males; People in rural/regional/remote communities; People with disabilities,13 Feb 2022,0.0
949,https://www.acnc.gov.au/charity/charities/85c211a8-38af-e811-a961-000d3ad24182/profile,Gunnedah And District Historical Society Inc,Gunnedah,NSW,Registered,Small,60931547393,,,,,,,http://gunnedahmuseums.org.au/,5102.0,3973.0,General community in Australia,4 Mar 2022,0.0
950,https://www.acnc.gov.au/charity/charities/45c311a8-38af-e811-a961-000d3ad24182/profile,Caodaist Association Of Victoria Inc.,Sunshine,VIC,Registered,Small,60734749787,,,,,,,,5442.0,6023.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Families; Females; Males; Other; Youth - 15 to under 25,19 Feb 2022,1.0
951,https://www.acnc.gov.au/charity/charities/69cb11a8-38af-e811-a961-000d3ad24182/profile,Connells Point Public School P&C Association,Connells Point,NSW,Registered,Small,45800356955,,,,,,,,214734.0,242906.0,Children - aged 6 to under 15,10 Apr 2021,0.0
952,https://www.acnc.gov.au/charity/charities/46cb11a8-38af-e811-a961-000d3ad24182/profile,Sayagyi U Ba Khin Mediation Building Fund,Sunshine,NSW,Registered,Small,50606510430,,,,,,,http://www.imcnsw.com.au/,0.0,115843.0,General community in Australia,23 Jan 2022,0.0
953,https://www.acnc.gov.au/charity/charities/01d408ae-38af-e811-a961-000d3ad24182/profile,South Melbourne Community Chest Inc,South Melbourne,VIC,Registered,Small,28506654832,,,,,,,http://www.southmelbournecommunitychest.org.au/,175337.0,162986.0,Environment; Families; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; Veterans and/or their families,16 Dec 2021,0.0
954,https://www.acnc.gov.au/charity/charities/eac908ae-38af-e811-a961-000d3ad24182/profile,NSW Community Services & Health Industry Training Advisory Body Inc.,North Avoca,NSW,Registered,Small,95530979012,,,,,,,http://www.csh-itab.com.au/,243327.0,221509.0,Aboriginal and Torres Strait Islander people; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Females; Financially disadvantaged people; General community in Australia; Males; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Unemployed persons; Youth - 15 to under 25,27 Jan 2022,0.0
955,https://www.acnc.gov.au/charity/charities/27d408ae-38af-e811-a961-000d3ad24182/profile,St Philips Anglican Church Collingwood,Abbotsford,VIC,Registered,Small,40303240612,,,,,,,https://stphilipscollingwood.org.au/,0.0,0.0,Environment; Families,29 Aug 2021,1.0
