,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion,website,revenue,expenses,causes,lastreport,religious_ref
0,https://www.acnc.gov.au/charity/charities/30f99aad-3aaf-e811-a962-000d3ad24a0d/profile,Unavailable,Unavailable,Unavailable,Registered,Small,Unavailable,,,,,,,,0.0,0.0,Animals; Environment; General community in Australia; Other charities,22 Dec 2021,0.0
1,https://www.acnc.gov.au/charity/charities/716eb92a-39af-e811-a963-000d3ad24077/profile,Christian Cultural Arts Trust,Unavailable,Unavailable,Registered,Small,11751213676,,,,,,,http://www.acmonline.com.au/,123258.0,127895.0,General community in Australia,30 Jul 2021,1.0
2,https://www.acnc.gov.au/charity/charities/be236a1c-39af-e811-a963-000d3ad24077/profile,Quakers Hill High School P&C,Quakers Hill,NSW,Registered,Small,80652958059,,,,,,,,0.0,0.0,Families; Other,2 Mar 2022,0.0
3,https://www.acnc.gov.au/charity/charities/ce657116-39af-e811-a963-000d3ad24077/profile,Returned Services League Of Australia (Queensland Branch) Gracemere & District Sub-Branch Incorporated,Gracemere,QLD,Registered,Small,41425510052,,,,,,,,181075.0,151295.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Females; Males; Veterans and/or their families,30 Jun 2022,0.0
4,https://www.acnc.gov.au/charity/charities/bc236a1c-39af-e811-a963-000d3ad24077/profile,Kandos Public School P & C Association,Kandos,NSW,Registered,Small,80579472052,,,,,,,,14273.0,10583.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Females; Financially disadvantaged people; Males; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities,28 Jan 2021,0.0
5,https://www.acnc.gov.au/charity/charities/1a6d7116-39af-e811-a963-000d3ad24077/profile,Association Of School Bursars And Administrators (Act) Incorporated,Canberra,ACT,Registered,Small,96462762026,,,,,,,http://www.asba.asn.au/,2225.0,3459.0,Adults - aged 25 to under 65,29 Jun 2022,0.0
6,https://www.acnc.gov.au/charity/charities/874cc224-39af-e811-a963-000d3ad24077/profile,The Trustee For Crossroads Church,Unavailable,Unavailable,Registered,Small,30120619905,,,,,,,,138859.0,145008.0,General community in Australia,29 Dec 2021,1.0
7,https://www.acnc.gov.au/charity/charities/52256a1c-39af-e811-a963-000d3ad24077/profile,Friends Of The Republic Of Vietnam Invalid Veterans's Association Of Wa Incorporated,Dianella,WA,Registered,Small,80620512348,,,,,,,,0.0,0.0,,8 Dec 2021,0.0
8,https://www.acnc.gov.au/charity/charities/1951c224-39af-e811-a963-000d3ad24077/profile,Uca - Wycheproof,Unavailable,Unavailable,Registered,Small,24070082164,,,,,,,,0.0,0.0,General community in Australia,7 May 2022,1.0
9,https://www.acnc.gov.au/charity/charities/aad0e909-39af-e811-a963-000d3ad24077/profile,Weetangera Primary School Parents' and Citizens' Association Incorporated,Weetangera,ACT,Registered,Small,23731241387,,,,,,,http://www.weetangeraps.act.edu.au/,63716.0,61219.0,Children - aged 6 to under 15; Early childhood - aged under 6; Families,8 Jul 2022,0.0
10,https://www.acnc.gov.au/charity/charities/4758c224-39af-e811-a963-000d3ad24077/profile,The Trustee For Arthur L Shaw Bequest,Melbourne,VIC,Registered,Small,57301175215,,,,,,,http://www.melbourneanglican.org.au/,0.0,0.0,General community in Australia,27 Jun 2022,1.0
11,https://www.acnc.gov.au/charity/charities/e61eb230-39af-e811-a963-000d3ad24077/profile,Lifesource Church Echuca Inc,Echuca,VIC,Registered,Small,76409071269,,,,,,,http://www.lifesourceechuca.com/,91366.0,58604.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Children - aged 6 to under 15; Families; Females; Financially disadvantaged people; General community in Australia; Males; Migrants, refugees or asylum seekers; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities",16 Apr 2022,1.0
12,https://www.acnc.gov.au/charity/charities/3e1eb230-39af-e811-a963-000d3ad24077/profile,Indian Reform Fellowship - Australia,Annerley,QLD,Registered,Small,76395493850,,,,,,,https://irfa.org.au/,59756.0,58939.0,Adults - aged 25 to under 65; Children - aged 6 to under 15; Youth - 15 to under 25,30 Jun 2022,1.0
13,https://www.acnc.gov.au/charity/charities/9f54c224-39af-e811-a963-000d3ad24077/profile,Crystal Brook North Western Agricultural Society Incorporated,Crystal Brook,SA,Registered,Small,88779385428,,,,,,,http://crystalbrookshowsa.net/,79028.0,77739.0,General community in Australia,25 Jun 2022,0.0
14,https://www.acnc.gov.au/charity/charities/e557c224-39af-e811-a963-000d3ad24077/profile,LAUNCESTON CHURCH GRAMMAR SCHOOL ENDOWMENT FUND,Mowbray,TAS,Registered,Small,57295877054,,,,,,,http://www.lcgs.tas.edu.au/,56609.0,4205.0,Children - aged 6 to under 15; Early childhood - aged under 6; Youth - 15 to under 25,29 Jan 2022,1.0
15,https://www.acnc.gov.au/charity/charities/7652c224-39af-e811-a963-000d3ad24077/profile,The Trustee For Lions International District 201 V2 Charitable Fund,Camperdown,VIC,Registered,Small,24227166701,,,,,,,,8547.0,1260.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Youth - 15 to under 25,31 Jan 2022,0.0
16,https://www.acnc.gov.au/charity/charities/1657c224-39af-e811-a963-000d3ad24077/profile,Australian Myanmar Evangelical Fellowship Inc,Tarneit,VIC,Registered,Small,47068979323,,,,,,,https://www.facebook.com/AustralianMyanmarEvangelicalFellowship/,71532.0,52942.0,Youth - 15 to under 25,20 Mar 2022,1.0
17,https://www.acnc.gov.au/charity/charities/ac74b92a-39af-e811-a963-000d3ad24077/profile,Seq Catchments Members' Association,Brisbane,QLD,Registered,Small,67095850849,,,,,,,,40008.0,40008.0,General community in Australia,29 Jan 2022,0.0
18,https://www.acnc.gov.au/charity/charities/3e6fb92a-39af-e811-a963-000d3ad24077/profile,Goulburn South Public School P&C Association,Goulburn,NSW,Registered,Small,52079910765,,,,,,,,11578.0,29827.0,Children - aged 6 to under 15,8 Jul 2022,0.0
19,https://www.acnc.gov.au/charity/charities/476db92a-39af-e811-a963-000d3ad24077/profile,Spark Art Initiatives Pty Ltd,Haymarket,NSW,Registered,Small,36131093108,,,,,,,,0.0,0.0,,28 Sep 2020,0.0
20,https://www.acnc.gov.au/charity/charities/041ab230-39af-e811-a963-000d3ad24077/profile,The Trustee For Trevor Wilson Ross Memorial Fund,Unavailable,Unavailable,Registered,Small,62347552344,,,,,,,,7803.0,2112.0,Veterans and/or their families,22 Jan 2022,0.0
21,https://www.acnc.gov.au/charity/charities/e64cc224-39af-e811-a963-000d3ad24077/profile,St Columb's Ministries Inc,Hawthorn,VIC,Registered,Small,29957147655,,,,,,,http://www.stc.org.au/,0.0,0.0,Adults - aged 25 to under 65; People from a culturally and linguistically diverse background,25 Mar 2022,0.0
22,https://www.acnc.gov.au/charity/charities/1cee1843-39af-e811-a963-000d3ad24077/profile,Reho' Family Ministries,Karrinyup,WA,Registered,Small,47385112295,,,,,,,http://www.redeemerchurch.com.au/,70462.0,72013.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Males; People from a culturally and linguistically diverse background; People with disabilities; Veterans and/or their families; Youth - 15 to under 25,18 Feb 2022,1.0
23,https://www.acnc.gov.au/charity/charities/5ac10355-39af-e811-a963-000d3ad24077/profile,Sunraysia Contempory Alevi Cultural Ce,Unavailable,Unavailable,Registered,Small,24765527579,,,,,,,,10360.0,12125.0,Families; Females; General community in Australia; Males,16 Mar 2021,1.0
24,https://www.acnc.gov.au/charity/charities/29722937-39af-e811-a963-000d3ad24077/profile,Altona Lifesaving Club,Altona,VIC,Registered,Small,71872745914,,,,,,,http://www.altonalsc.com.au/,92974.0,98223.0,Adults - aged 25 to under 65; Children - aged 6 to under 15; Females; General community in Australia; Males; Youth - 15 to under 25,3 Feb 2022,0.0
25,https://www.acnc.gov.au/charity/charities/e3151149-39af-e811-a963-000d3ad24077/profile,City Beach Church Building Association Incorporated,Ballajura,WA,Registered,Small,52432809966,,,,,,,,1345.0,159421.0,General community in Australia,27 May 2022,1.0
26,https://www.acnc.gov.au/charity/charities/64cb0355-39af-e811-a963-000d3ad24077/profile,South Brisbane Christadelphian Ecclesia,Wishart,QLD,Registered,Small,72153223604,,,,,,,https://bibletalk.com.au/,0.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; General community in Australia; Other; Overseas communities or charities; Youth - 15 to under 25,8 Jan 2022,1.0
27,https://www.acnc.gov.au/charity/charities/fece0355-39af-e811-a963-000d3ad24077/profile,Caring For Kids Bankstown Group,Barrack Heights,NSW,Registered,Small,93194562351,,,,,,,,2912.0,8676.0,Children - aged 6 to under 15; Early childhood - aged under 6; Youth - 15 to under 25,14 Jun 2022,0.0
28,https://www.acnc.gov.au/charity/charities/39c40355-39af-e811-a963-000d3ad24077/profile,The Trustee For The Dammery Educational Trust,Melbourne,VIC,Registered,Small,24636882181,,,,,,,,19018.0,26494.0,Other charities,30 Jan 2022,0.0
29,https://www.acnc.gov.au/charity/charities/d4990c4f-39af-e811-a963-000d3ad24077/profile,Andrews Community Kindergarten Inc,Unavailable,Unavailable,Registered,Small,30818269946,,,,,,,,3241.0,3859.0,Early childhood - aged under 6,29 Jun 2021,0.0
