,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion
0,https://www.acnc.gov.au/charity/charities/bf930620-38af-e811-a963-000d3ad244fd/profile,Providing All Living Supports (Pals) Inc,Yarrawonga,VIC,Registered,Large,38788328554,,,,,,
1,https://www.acnc.gov.au/charity/charities/2ffed643-39af-e811-a962-000d3ad24a0d/profile,Sunshine Coast Health Foundation,Birtinya,QLD,Registered,Large,47370544251,,,,,,
2,https://www.acnc.gov.au/charity/charities/1a23ea51-38af-e811-a962-000d3ad24a0d/profile,Rural Housing Network,Wodonga,VIC,Registered,Large,82965609218,,,,,,
3,https://www.acnc.gov.au/charity/charities/3a117d58-38af-e811-a960-000d3ad24282/profile,Church Of God World Mission Society Inc.,Mitcham,VIC,Registered,Large,86900135229,,,,,,
4,https://www.acnc.gov.au/charity/charities/123e9cce-640f-eb11-a812-000d3ad1ce4e/profile,SALESIAN COLLEGE CHADSTONE,Chadstone,VIC,Registered,Large,74645109208,,,,,,
5,https://www.acnc.gov.au/charity/charities/b84d2bdd-2daf-e811-a960-000d3ad24282/profile,National Judicial College Of Australia,Acton,ACT,Registered,Large,20100577544,,,,,,
6,https://www.acnc.gov.au/charity/charities/a8509e9d-39af-e811-a961-000d3ad24182/profile,Marcellin Catholic College,Bulleen,VIC,Registered,Large,77413001496,,,,,,
7,https://www.acnc.gov.au/charity/charities/bf9add32-38af-e811-a95e-000d3ad24c60/profile,The Trustee For Telstra Foundation Community Development Fund,Melbourne,VIC,Registered,Large,27069572515,,,,,,
8,https://www.acnc.gov.au/charity/charities/f539e20f-39af-e811-a963-000d3ad24077/profile,Conservation Council Of Wa Inc,West Perth,WA,Registered,Large,35982476107,,,,,,
9,https://www.acnc.gov.au/charity/charities/810c2a88-3aaf-e811-a961-000d3ad24182/profile,Brothers of the Christian Schools,Bankstown,NSW,Registered,Large,86884003626,,,,,,
10,https://www.acnc.gov.au/charity/charities/c8882710-2caf-e811-a963-000d3ad24077/profile,Church Of Scientology Melbourne Inc,Ascot Vale,VIC,Registered,Large,19836676035,,,,,,
11,https://www.acnc.gov.au/charity/charities/4fd50355-39af-e811-a963-000d3ad24077/profile,Moore Theological College Council,Newtown,NSW,Registered,Large,47746452183,,,,,,
12,https://www.acnc.gov.au/charity/charities/57d23616-2caf-e811-a960-000d3ad24282/profile,Safety Institute Of Australia Limited,Tullamarine,VIC,Registered,Large,82151339329,,,,,,
13,https://www.acnc.gov.au/charity/charities/4f4023ea-38af-e811-a961-000d3ad24182/profile,The Trustee For Nathalia Education Trust,Nathalia,VIC,Registered,Large,92325847092,,,,,,
14,https://www.acnc.gov.au/charity/charities/88676c8a-38af-e811-a962-000d3ad24a0d/profile,Stairway Church Whitehorse Inc,Vermont,VIC,Registered,Large,33855157759,,,,,,
15,https://www.acnc.gov.au/charity/charities/9e4f3cf2-a01b-ea11-a811-000d3ad1fbf8/profile,END STREET SLEEPING COLLABORATION LTD,Sydney,NSW,Registered,Large,96636177949,,,,,,
16,https://www.acnc.gov.au/charity/charities/f15e04f2-38af-e811-a963-000d3ad24077/profile,Global Care Group (Gcg) Incorporated,Midland,WA,Registered,Large,17277640167,,,,,,
17,https://www.acnc.gov.au/charity/charities/02cae909-39af-e811-a963-000d3ad24077/profile,Neuroscience Research Australia Foundation,Randwick,NSW,Registered,Large,57008429961,,,,,,
18,https://www.acnc.gov.au/charity/charities/75d00103-39af-e811-a95e-000d3ad24c60/profile,Variety - The Children's Charity of Victoria,South Melbourne,VIC,Registered,Large,80145257414,,,,,,
19,https://www.acnc.gov.au/charity/charities/47fb6cbf-38af-e811-a960-000d3ad24282/profile,The University Of Adelaide,Adelaide,SA,Registered,Large,61249878937,,,,,,
20,https://www.acnc.gov.au/charity/charities/b8221004-39af-e811-a963-000d3ad244fd/profile,Carers ACT Ltd,Holt,ACT,Registered,Large,99732929957,,,,,,
21,https://www.acnc.gov.au/charity/charities/1f8bd638-38af-e811-a95e-000d3ad24c60/profile,Emma House Domestic Violence Services Incorporated,Warrnambool,VIC,Registered,Large,49619382664,,,,,,
22,https://www.acnc.gov.au/charity/charities/42766e09-2caf-e811-a961-000d3ad24182/profile,The Developing Foundation Inc,Auchenflower,QLD,Registered,Large,58903560400,,,,,,
23,https://www.acnc.gov.au/charity/charities/b86590af-38af-e811-a963-000d3ad24077/profile,Consumers Of Mental Health Wa (Inc),Cloverdale,WA,Registered,Large,95581286940,,,,,,
24,https://www.acnc.gov.au/charity/charities/ede66863-3aaf-e811-a961-000d3ad24182/profile,Lighthouse Disability Ltd,Salisbury,SA,Registered,Large,20606960865,,,,,,
25,https://www.acnc.gov.au/charity/charities/e05586d3-38af-e811-a963-000d3ad24077/profile,Trustees Of The Sisters Of The Brigidine Congregation,Coogee,NSW,Registered,Large,96018697815,,,,,,
26,https://www.acnc.gov.au/charity/charities/2f26450a-2caf-e811-a960-000d3ad24282/profile,Childrens Hospice Association Inc,Osborne Park,WA,Registered,Large,31896577489,,,,,,
27,https://www.acnc.gov.au/charity/charities/331d7146-39af-e811-a95e-000d3ad24c60/profile,Social Traders Ltd,Melbourne,VIC,Registered,Large,42132665804,,,,,,
28,https://www.acnc.gov.au/charity/charities/ad19c361-3aaf-e811-a95e-000d3ad24c60/profile,Life Church Brisbane,Salisbury,QLD,Registered,Large,67604987911,,,,,,
29,https://www.acnc.gov.au/charity/charities/ba82d638-38af-e811-a95e-000d3ad24c60/profile,Alara QLD Limited,Ipswich,QLD,Registered,Large,94628523943,,,,,,
30,https://www.acnc.gov.au/charity/charities/25058d76-38af-e811-a960-000d3ad24282/profile,Tandara Lodge Community Care Inc,Sheffield,TAS,Registered,Large,21723628502,,,,,,
31,https://www.acnc.gov.au/charity/charities/c9d88c76-38af-e811-a95e-000d3ad24c60/profile,National Catholic Education Commission,The Rocks,NSW,Registered,Large,98732490221,,,,,,
32,https://www.acnc.gov.au/charity/charities/016b70b3-38af-e811-a960-000d3ad24282/profile,Scripture Union Western Australia Limited,Fortitude Valley,QLD,Registered,Large,34474372309,,,,,,
33,https://www.acnc.gov.au/charity/charities/0e912710-2caf-e811-a963-000d3ad24077/profile,Life Plan Recreation And Leisure Association Incorporated,Welshpool,WA,Registered,Large,63899215668,,,,,,
34,https://www.acnc.gov.au/charity/charities/ecdda895-39af-e811-a963-000d3ad244fd/profile,Ipswich Show Society,Booval Fair,QLD,Registered,Large,37438074435,,,,,,
35,https://www.acnc.gov.au/charity/charities/30ebe226-38af-e811-a95e-000d3ad24c60/profile,Uts Child Care Incorporated,Chippendale,NSW,Registered,Large,49179430716,,,,,,
36,https://www.acnc.gov.au/charity/charities/55559e9d-39af-e811-a961-000d3ad24182/profile,Australian Diabetes Society Limited,Sydney,NSW,Registered,Large,13053787965,,,,,,
37,https://www.acnc.gov.au/charity/charities/1305c083-a2cd-e811-a964-000d3ad24077/profile,Liberti Ltd,Carrara,QLD,Registered,Large,23629167844,,,,,,
38,https://www.acnc.gov.au/charity/charities/31f126e3-2daf-e811-a963-000d3ad24077/profile,Pathfinders Ltd,Armidale,NSW,Registered,Large,64146004524,,,,,,
39,https://www.acnc.gov.au/charity/charities/fe8cda62-30ba-e811-a960-000d3ad24282/profile,Rainforest 4 Foundation Ltd,Mullumbimby,NSW,Registered,Large,49628358323,,,,,,
40,https://www.acnc.gov.au/charity/charities/5542ab38-38af-e811-a960-000d3ad24282/profile,Jali Local Aboriginal Land Council,Ballina,NSW,Registered,Large,73890511469,,,,,,
41,https://www.acnc.gov.au/charity/charities/4f0d7166-b2ad-e911-a98c-000d3ad05ad0/profile,Jabiru Kabolkmakmen Ltd,Jabiru,NT,Registered,Large,14633120000,,,,,,
42,https://www.acnc.gov.au/charity/charities/936a5a24-39af-e811-a962-000d3ad24a0d/profile,Life Education Centre Foundation Qld Inc,Mermaid Waters,QLD,Registered,Large,17760280660,,,,,,
43,https://www.acnc.gov.au/charity/charities/14ac6689-38af-e811-a95e-000d3ad24c60/profile,Assisi Centre Limited,Rosanna,VIC,Registered,Large,33929275686,,,,,,
44,https://www.acnc.gov.au/charity/charities/79334b76-38af-e811-a963-000d3ad24077/profile,Meerilinga Children and Community Foundation Incorporated,West Leederville,WA,Registered,Large,60366468001,,,,,,
45,https://www.acnc.gov.au/charity/charities/c3b98170-38af-e811-a960-000d3ad24282/profile,Meerilinga Children and Community Services Incorporated,West Leederville,WA,Registered,Large,39362912956,,,,,,
46,https://www.acnc.gov.au/charity/charities/0bea76a1-3aaf-e811-a960-000d3ad24282/profile,Murdi Paaki Services Ltd,Cobar,NSW,Registered,Large,55614474118,,,,,,
47,https://www.acnc.gov.au/charity/charities/b53e1f5b-3aaf-e811-a963-000d3ad244fd/profile,Perth Childrens Hospital Foundation Limited,Nedlands,WA,Registered,Large,18604862071,,,,,,
48,https://www.acnc.gov.au/charity/charities/1e71b26d-3aaf-e811-a95e-000d3ad24c60/profile,Paintback Limited,Docklands,VIC,Registered,Large,55610171312,,,,,,
49,https://www.acnc.gov.au/charity/charities/e73e8be4-38af-e811-a95e-000d3ad24c60/profile,United Protestant Association Of NSW Limited,Wahroonga,NSW,Registered,Large,71050057620,,,,,,
50,https://www.acnc.gov.au/charity/charities/e7a66f5d-3aaf-e811-a961-000d3ad24182/profile,Marist College Bendigo,Maiden Gully,VIC,Registered,Large,48218856996,,,,,,
51,https://www.acnc.gov.au/charity/charities/99101957-38af-e811-a95e-000d3ad24c60/profile,Far West Community Legal Centre Limited,Broken Hill,NSW,Registered,Large,49951130115,,,,,,
52,https://www.acnc.gov.au/charity/charities/53f6d851-38af-e811-a961-000d3ad24182/profile,South West Community Transport Ltd,Minto,NSW,Registered,Large,33226912121,,,,,,
53,https://www.acnc.gov.au/charity/charities/1ef98357-39af-e811-a960-000d3ad24282/profile,Orange Evangelical Church (OEC) Inc.,Unavailable,Unavailable,Registered,Large,47759493237,,,,,,
54,https://www.acnc.gov.au/charity/charities/b5a12dd7-2daf-e811-a960-000d3ad24282/profile,Generate Services Limited,Newtown,NSW,Registered,Large,59223359776,,,,,,
55,https://www.acnc.gov.au/charity/charities/8f7cb79b-38af-e811-a963-000d3ad24077/profile,Queensland Lutheran Early Childhood Services,Milton,QLD,Registered,Large,75039376800,,,,,,
56,https://www.acnc.gov.au/charity/charities/2eb70f61-39af-e811-a963-000d3ad24077/profile,Disability South West Ltd,Green Valley,NSW,Registered,Large,42483016622,,,,,,
57,https://www.acnc.gov.au/charity/charities/8f8064d3-38af-e811-a963-000d3ad244fd/profile,Ability Options Ltd,Bella Vista,NSW,Registered,Large,92003175335,,,,,,
58,https://www.acnc.gov.au/charity/charities/4d1e010f-39af-e811-a95e-000d3ad24c60/profile,Nazareth Lutheran Early Learning Centre,Woolloongabba,QLD,Registered,Large,51822832517,,,,,,
59,https://www.acnc.gov.au/charity/charities/065e78ad-38af-e811-a960-000d3ad24282/profile,Kempsey Respite Services Inc,West Kempsey,NSW,Registered,Large,95455962476,,,,,,
60,https://www.acnc.gov.au/charity/charities/821e010f-39af-e811-a95e-000d3ad24c60/profile,Manning Valley Respite Care Services Incorporated,Taree,NSW,Registered,Large,66751245783,,,,,,
61,https://www.acnc.gov.au/charity/charities/78a7847c-38af-e811-a960-000d3ad24282/profile,Community Transport Central Coast Limited,Berkeley Vale,NSW,Registered,Large,83159993487,,,,,,
62,https://www.acnc.gov.au/charity/charities/131f0f1b-b405-ea11-a811-000d3ad1fbf8/profile,COAST CONNECT OPERATIONS LIMITED,Berkeley Vale,NSW,Registered,Large,54636598993,,,,,,
63,https://www.acnc.gov.au/charity/charities/618b203d-39af-e811-a963-000d3ad24077/profile,Council On The Ageing (Tas) Inc,Hobart,TAS,Registered,Large,71718804307,,,,,,
64,https://www.acnc.gov.au/charity/charities/8e4f5270-38af-e811-a963-000d3ad24077/profile,Marist Regional College,Parklands,TAS,Registered,Large,60165188918,,,,,,
65,https://www.acnc.gov.au/charity/charities/8805e9ad-e9ff-eb11-94ee-0022481064b1/profile,Shark Island Foundation,Sydney,NSW,Registered,Large,30374454368,,,,,,
66,https://www.acnc.gov.au/charity/charities/7f31fc80-3aaf-e811-a963-000d3ad244fd/profile,Wesley College Melbourne Limited,Melbourne,VIC,Registered,Large,55611238530,,,,,,
67,https://www.acnc.gov.au/charity/charities/9b28e06b-38af-e811-a962-000d3ad24a0d/profile,The Trustee For Wesley College Scholarships Bursaries And Prizes Fund,Melbourne,VIC,Registered,Large,91125578470,,,,,,
68,https://www.acnc.gov.au/charity/charities/c310efe3-39af-e811-a963-000d3ad244fd/profile,Good360 Australia Ltd,Smithfield,NSW,Registered,Large,93161292664,,,,,,
69,https://www.acnc.gov.au/charity/charities/4873aea1-38af-e811-a963-000d3ad24077/profile,Presbyterian Ladies' College,Burwood,VIC,Registered,Large,16005650386,,,,,,
70,https://www.acnc.gov.au/charity/charities/4ae6a9b4-39af-e811-a960-000d3ad24282/profile,Bathurst Early Childhood Intervention Service Incorporated,Bathurst,NSW,Registered,Large,93714522918,,,,,,
71,https://www.acnc.gov.au/charity/charities/68d7f626-39af-e811-a95e-000d3ad24c60/profile,Hastings Association For Christian Education Ltd,Port Macquarie,NSW,Registered,Large,47002521404,,,,,,
72,https://www.acnc.gov.au/charity/charities/410a6b44-39af-e811-a963-000d3ad244fd/profile,Australian Crohn's & Colitis Association (ACCA),Camberwell,VIC,Registered,Large,42082747135,,,,,,
73,https://www.acnc.gov.au/charity/charities/b7b56984-39af-e811-a962-000d3ad24a0d/profile,Impact Care Solutions Limited,Penrith,NSW,Registered,Large,25131659777,,,,,,
74,https://www.acnc.gov.au/charity/charities/612387b5-38af-e811-a963-000d3ad24077/profile,Moira Limited,Unavailable,Unavailable,Registered,Large,22729829472,,,,,,
75,https://www.acnc.gov.au/charity/charities/ba463b10-2caf-e811-a960-000d3ad24282/profile,Independent Advocacy In The Tropics Inc,Mundingburra,QLD,Registered,Large,13573741460,,,,,,
76,https://www.acnc.gov.au/charity/charities/828ed464-39af-e811-a962-000d3ad24a0d/profile,Foundation For Independence Recreation & Social Training Inc,Eagleby,QLD,Registered,Large,89341382344,,,,,,
77,https://www.acnc.gov.au/charity/charities/bd02d21a-38af-e811-a960-000d3ad24282/profile,Pinaroo Roma Inc,Unavailable,Unavailable,Registered,Large,20453957951,,,,,,
78,https://www.acnc.gov.au/charity/charities/41cb1e16-2caf-e811-a963-000d3ad24077/profile,Ernabella Arts Incorporated,Unavailable,Unavailable,Registered,Large,48878524966,,,,,,
79,https://www.acnc.gov.au/charity/charities/ae3b5163-3aaf-e811-a962-000d3ad24a0d/profile,Massey Charitable Trust,Unavailable,Unavailable,Registered,Large,36204885744,,,,,,
80,https://www.acnc.gov.au/charity/charities/12ea2786-39af-e811-a963-000d3ad24077/profile,The Armidale School Foundation Ltd,Armidale,NSW,Registered,Large,93326194937,,,,,,
81,https://www.acnc.gov.au/charity/charities/8b587a12-2caf-e811-a95e-000d3ad24c60/profile,Hello Sunday Morning,Surry Hills,NSW,Registered,Large,82145512125,,,,,,
82,https://www.acnc.gov.au/charity/charities/36bea898-39af-e811-a963-000d3ad24077/profile,RSL Lifecare Limited,St Leonards,NSW,Registered,Large,43000048957,,,,,,
83,https://www.acnc.gov.au/charity/charities/d9f6872a-39af-e811-a962-000d3ad24a0d/profile,Macular Disease Foundation Australia,Sydney,NSW,Registered,Large,52096255177,,,,,,
84,https://www.acnc.gov.au/charity/charities/3799fdbf-38af-e811-a961-000d3ad24182/profile,Red Bend Catholic College,Forbes,NSW,Registered,Large,70721984562,,,,,,
85,https://www.acnc.gov.au/charity/charities/fec4f13e-39af-e811-a961-000d3ad24182/profile,Northern Beaches Interchange Inc,Warriewood,NSW,Registered,Large,84987507426,,,,,,
86,https://www.acnc.gov.au/charity/charities/e9524158-38af-e811-a963-000d3ad24077/profile,Girl Guides Association (New South Wales),Surry Hills,NSW,Registered,Large,21366241150,,,,,,
87,https://www.acnc.gov.au/charity/charities/a848399b-2100-ea11-a811-000d3ad1ce4e/profile,COMMUNITY OPTIONS AUSTRALIA LIMITED,Artarmon,Unavailable,Registered,Large,36606404127,,,,,,
88,https://www.acnc.gov.au/charity/charities/d1251004-39af-e811-a963-000d3ad244fd/profile,Monkami Centre Inc,Croydon,VIC,Registered,Large,80332424184,,,,,,
89,https://www.acnc.gov.au/charity/charities/45e1f4ea-38af-e811-a95e-000d3ad24c60/profile,Oceans Church Inc.,Collingwood Heights,WA,Registered,Large,56750527042,,,,,,
90,https://www.acnc.gov.au/charity/charities/a5bdf745-38af-e811-a960-000d3ad24282/profile,The Trustee For Wesley College Foundation Ltd Building Fund,Melbourne,VIC,Registered,Large,64789538406,,,,,,
91,https://www.acnc.gov.au/charity/charities/d3329a6f-3aaf-e811-a961-000d3ad24182/profile,Northern Community Legal Centre Inc,Broadmeadows,VIC,Registered,Large,50570314348,,,,,,
92,https://www.acnc.gov.au/charity/charities/cf8d7a64-53b0-ea11-a812-000d3ad1cd99/profile,EDUCATION FOR GENERATIONS LIMITED,Sunshine Beach,QLD,Registered,Large,50607369666,,,,,,
93,https://www.acnc.gov.au/charity/charities/9119f4ff-39af-e811-a961-000d3ad24182/profile,Olivia Newton-John Cancer Research Institute,Heidelberg,VIC,Registered,Large,11167192752,,,,,,
94,https://www.acnc.gov.au/charity/charities/ec4c1e89-3aaf-e811-a962-000d3ad24a0d/profile,CrossLife Property Ltd,Upper Coomera,QLD,Registered,Large,32615708471,,,,,,
