,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion
0,https://www.acnc.gov.au/charity/charities/f3509e9d-39af-e811-a961-000d3ad24182/profile,Sydney Montessori School Ltd,Gymea,NSW,Registered,Large,77436177535,,,,,,
1,https://www.acnc.gov.au/charity/charities/7956c1d4-39af-e811-a961-000d3ad24182/profile,MLAHMC Ltd,Parkes,NSW,Registered,Large,93858943980,,,,,,
2,https://www.acnc.gov.au/charity/charities/a95dc1d4-39af-e811-a961-000d3ad24182/profile,Unavailable,Unavailable,Unavailable,Registered,Large,Unavailable,,,,,,
3,https://www.acnc.gov.au/charity/charities/8054c1d4-39af-e811-a961-000d3ad24182/profile,The Trustee For Smart Recovery Trust,Woolloomooloo,NSW,Registered,Large,68217832949,,,,,,
4,https://www.acnc.gov.au/charity/charities/7bd4bada-39af-e811-a961-000d3ad24182/profile,St Anthony Of Padua Primary School,Melton South,VIC,Registered,Large,97608839310,,,,,,
5,https://www.acnc.gov.au/charity/charities/7b56c1d4-39af-e811-a961-000d3ad24182/profile,St Kilda Police & Citizens Youth Club Inc,St Kilda,VIC,Registered,Large,68206026983,,,,,,
6,https://www.acnc.gov.au/charity/charities/0957c1d4-39af-e811-a961-000d3ad24182/profile,St Mary s College Melbourne,St Kilda East,VIC,Registered,Large,93859535917,,,,,,
7,https://www.acnc.gov.au/charity/charities/4afa48b6-39af-e811-a961-000d3ad24182/profile,Community Information & Support Cranbourne Inc,Cranbourne,VIC,Registered,Large,81873703886,,,,,,
8,https://www.acnc.gov.au/charity/charities/e5579e9d-39af-e811-a961-000d3ad24182/profile,Laurel Place Inc.,Maroochydore,QLD,Registered,Large,13035627549,,,,,,
9,https://www.acnc.gov.au/charity/charities/cd6f9ea3-39af-e811-a961-000d3ad24182/profile,Australian Marine Conservation Society Inc,West End,QLD,Registered,Large,53409718351,,,,,,
10,https://www.acnc.gov.au/charity/charities/8c0be970-38af-e811-a961-000d3ad24182/profile,Pbf Australia Ltd,Floreat,WA,Registered,Large,39521178651,,,,,,
11,https://www.acnc.gov.au/charity/charities/f917ff57-38af-e811-a961-000d3ad24182/profile,Northern Australia Primary Health Limited,Douglas,QLD,Registered,Large,87063397231,,,,,,
12,https://www.acnc.gov.au/charity/charities/82faf676-38af-e811-a961-000d3ad24182/profile,Cairns & District Child Care Development Assoc Inc,Edge Hill,QLD,Registered,Large,45031350779,,,,,,
13,https://www.acnc.gov.au/charity/charities/5d07ed7c-38af-e811-a961-000d3ad24182/profile,The Trustee For Trustees Of The Ann Street Presbyterian Church,Brisbane City,QLD,Registered,Large,50188269813,,,,,,
14,https://www.acnc.gov.au/charity/charities/1e2ee388-38af-e811-a961-000d3ad24182/profile,Ascham Foundation Ltd,Edgecliff,NSW,Registered,Large,79001477970,,,,,,
