,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion
0,https://www.acnc.gov.au/charity/charities/2ff81843-39af-e811-a963-000d3ad24077/profile,Padthaway Uniting Church,Unavailable,Unavailable,Registered,Small,36351478248,,,,,,
1,https://www.acnc.gov.au/charity/charities/19f31843-39af-e811-a963-000d3ad24077/profile,Campbelltown Uniting Church,Campbelltown,SA,Registered,Small,57573976168,,,,,,
2,https://www.acnc.gov.au/charity/charities/f1f81843-39af-e811-a963-000d3ad24077/profile,The Trustee For The Francis Forbes Fund,Sydney,NSW,Registered,Small,36356298936,,,,,,
3,https://www.acnc.gov.au/charity/charities/a4eb1843-39af-e811-a963-000d3ad24077/profile,Wickham Community Association Inc,Unavailable,Unavailable,Registered,Small,47424278289,,,,,,
4,https://www.acnc.gov.au/charity/charities/fdf41843-39af-e811-a963-000d3ad24077/profile,The Trustee For Donaldson Conservation Trust,Black Hill,NSW,Registered,Small,89139884622,,,,,,
5,https://www.acnc.gov.au/charity/charities/d0131149-39af-e811-a963-000d3ad24077/profile,Australian Hindu Multiculturalassociation,Marsden Park,NSW,Registered,Small,42063175904,,,,,,
6,https://www.acnc.gov.au/charity/charities/27f71843-39af-e811-a963-000d3ad24077/profile,Northlakes Public School P&C Associon,San Remo,NSW,Registered,Small,36570799632,,,,,,
7,https://www.acnc.gov.au/charity/charities/e48e203d-39af-e811-a963-000d3ad24077/profile,Toodyay Friends Of The River Inc,Toodyay,WA,Registered,Small,84891011078,,,,,,
8,https://www.acnc.gov.au/charity/charities/d8f41843-39af-e811-a963-000d3ad24077/profile,The Trustee For William Peacock Estate Uniting Church Property Trust,Unavailable,Unavailable,Registered,Small,57473479231,,,,,,
9,https://www.acnc.gov.au/charity/charities/051e1149-39af-e811-a963-000d3ad24077/profile,Wallsend Baptist Community Centre Incorporated,Wallsend,NSW,Registered,Small,18280648489,,,,,,
10,https://www.acnc.gov.au/charity/charities/e54cc224-39af-e811-a963-000d3ad24077/profile,The Association Of The Catechesis Of The Good Shepherd (Australia) Limited,Graceville,QLD,Registered,Small,30097016414,,,,,,
11,https://www.acnc.gov.au/charity/charities/6452c224-39af-e811-a963-000d3ad24077/profile,St Kevin's Parents And Friends Association,Geebung,QLD,Registered,Small,88773676343,,,,,,
12,https://www.acnc.gov.au/charity/charities/75256a1c-39af-e811-a963-000d3ad24077/profile,Anglican Trusts Corporation Of The Diocese Of Gippsland,Lang Lang,VIC,Registered,Small,80656520300,,,,,,
13,https://www.acnc.gov.au/charity/charities/a054c224-39af-e811-a963-000d3ad24077/profile,Stirling Education Trust,Gnowangerup,WA,Registered,Small,88728475173,,,,,,
14,https://www.acnc.gov.au/charity/charities/98256a1c-39af-e811-a963-000d3ad24077/profile,Central Queensland Youth Links Inc,Rockhampton City,QLD,Registered,Small,71606295328,,,,,,
15,https://www.acnc.gov.au/charity/charities/55296a1c-39af-e811-a963-000d3ad24077/profile,Cabramatta Vineyard Church Incorporated,Cabramatta West,NSW,Registered,Small,80557840311,,,,,,
16,https://www.acnc.gov.au/charity/charities/0f54c224-39af-e811-a963-000d3ad24077/profile,Clyde River & Batemans Bay Historical Society Inc,Batemans Bay,NSW,Registered,Small,24004213040,,,,,,
17,https://www.acnc.gov.au/charity/charities/ba236a1c-39af-e811-a963-000d3ad24077/profile,The Trustee For Stanford Australia Foundation,Sydney,NSW,Registered,Small,71603543553,,,,,,
18,https://www.acnc.gov.au/charity/charities/8b51c224-39af-e811-a963-000d3ad24077/profile,Ballarat Gospel Radio Incorporated,Wendouree,VIC,Registered,Small,88714783084,,,,,,
19,https://www.acnc.gov.au/charity/charities/8857c224-39af-e811-a963-000d3ad24077/profile,Conquerors Congregation Ministries International Incorporated,Granville,NSW,Registered,Small,57295803015,,,,,,
20,https://www.acnc.gov.au/charity/charities/9e54c224-39af-e811-a963-000d3ad24077/profile,Greek Orthodox Church And Community Of Panayia Gorgoepicoos Original Old Calendar Melbourne and Victoria Incorporated,Unavailable,Unavailable,Registered,Small,24236920267,,,,,,
21,https://www.acnc.gov.au/charity/charities/cb266a1c-39af-e811-a963-000d3ad24077/profile,The Anglican Parish Of Lockleys,Brooklyn Park,SA,Registered,Small,80621006934,,,,,,
22,https://www.acnc.gov.au/charity/charities/7c53c224-39af-e811-a963-000d3ad24077/profile,KRM Ministries Inc.,Westminster,WA,Registered,Small,88778652864,,,,,,
23,https://www.acnc.gov.au/charity/charities/9a59c224-39af-e811-a963-000d3ad24077/profile,City Language Learning Centre Inc,Footscray,VIC,Registered,Small,57309550955,,,,,,
24,https://www.acnc.gov.au/charity/charities/7753c224-39af-e811-a963-000d3ad24077/profile,St Andrews Anglican Church Somerville,Somerville,VIC,Registered,Small,88723394874,,,,,,
25,https://www.acnc.gov.au/charity/charities/b656c224-39af-e811-a963-000d3ad24077/profile,The Union Of Christians From Constantinople In Vic,Unavailable,Unavailable,Registered,Small,47065022499,,,,,,
26,https://www.acnc.gov.au/charity/charities/6b221149-39af-e811-a963-000d3ad24077/profile,St Albans Vietnamese Christian And Missionary Alliance Church,Stalbans,VIC,Registered,Small,62543954496,,,,,,
27,https://www.acnc.gov.au/charity/charities/19ec1843-39af-e811-a963-000d3ad24077/profile,Uniting Church In Australia Renmark Parish,Renmark,SA,Registered,Small,47377341409,,,,,,
28,https://www.acnc.gov.au/charity/charities/1fec1843-39af-e811-a963-000d3ad24077/profile,Wat Lao Buddha Metta Buddhist Society Of NSW Incorporated,St Johns Park,NSW,Registered,Small,47495712147,,,,,,
29,https://www.acnc.gov.au/charity/charities/741e1149-39af-e811-a963-000d3ad24077/profile,Rotary Club Of Eltham Charitable Trust Fund,Eltham,VIC,Registered,Small,18286510589,,,,,,
30,https://www.acnc.gov.au/charity/charities/81161149-39af-e811-a963-000d3ad24077/profile,The Trustee For Sinai College Building Fund,Burbank,QLD,Registered,Small,52423049024,,,,,,
31,https://www.acnc.gov.au/charity/charities/b3201149-39af-e811-a963-000d3ad24077/profile,The Corporation Of The Diocesan Synod Of North Queensland,Townsville,QLD,Registered,Small,62731183075,,,,,,
32,https://www.acnc.gov.au/charity/charities/d5131149-39af-e811-a963-000d3ad24077/profile,Grace Church Shellharbour City Incorporated,Shellharbour City Centre,NSW,Registered,Small,52357178657,,,,,,
33,https://www.acnc.gov.au/charity/charities/70171149-39af-e811-a963-000d3ad24077/profile,The Trustee For Hazel Peat Perpetual Charitable Trust,Melbourne,VIC,Registered,Small,42071663133,,,,,,
34,https://www.acnc.gov.au/charity/charities/661c1149-39af-e811-a963-000d3ad24077/profile,Brisbane Suhrim Church Inc.,Kenmore,QLD,Registered,Small,52578484417,,,,,,
